2016/09/09 15:38:27 INFO  - jmeter.util.JMeterUtils: Setting Locale to en_US 
2016/09/09 15:38:28 INFO  - jmeter.JMeter: Loading user properties from: /usr/local/apache-jmeter-3.0/bin/user.properties 
2016/09/09 15:38:28 INFO  - jmeter.JMeter: Loading system properties from: /usr/local/apache-jmeter-3.0/bin/system.properties 
2016/09/09 15:38:28 INFO  - jmeter.JMeter: Copyright (c) 1998-2016 The Apache Software Foundation 
2016/09/09 15:38:28 INFO  - jmeter.JMeter: Version 3.0 r1743807 
2016/09/09 15:38:28 INFO  - jmeter.JMeter: java.version=1.8.0_20 
2016/09/09 15:38:28 INFO  - jmeter.JMeter: java.vm.name=Java HotSpot(TM) 64-Bit Server VM 
2016/09/09 15:38:28 INFO  - jmeter.JMeter: os.name=Mac OS X 
2016/09/09 15:38:28 INFO  - jmeter.JMeter: os.arch=x86_64 
2016/09/09 15:38:28 INFO  - jmeter.JMeter: os.version=10.11.5 
2016/09/09 15:38:28 INFO  - jmeter.JMeter: file.encoding=UTF-8 
2016/09/09 15:38:28 INFO  - jmeter.JMeter: Max memory     =514850816 
2016/09/09 15:38:28 INFO  - jmeter.JMeter: Available Processors =4 
2016/09/09 15:38:28 INFO  - jmeter.JMeter: Default Locale=English (United States) 
2016/09/09 15:38:28 INFO  - jmeter.JMeter: JMeter  Locale=English (United States) 
2016/09/09 15:38:28 INFO  - jmeter.JMeter: JMeterHome=/usr/local/apache-jmeter-3.0 
2016/09/09 15:38:28 INFO  - jmeter.JMeter: user.dir  =/Users/cliffordberg/Documents/ScaledMarkets/DHS-Alethix/Project/tools/JMeter 
2016/09/09 15:38:28 INFO  - jmeter.JMeter: PWD       =/Users/cliffordberg/Documents/ScaledMarkets/DHS-Alethix/Project/tools/JMeter 
2016/09/09 15:38:29 INFO  - jmeter.JMeter: IP: 192.168.1.3 Name: Clifford-Bergs-MacBook-Pro.local FullName: 192.168.1.3 
2016/09/09 15:38:31 INFO  - jmeter.gui.action.LookAndFeelCommand: Using look and feel: com.apple.laf.AquaLookAndFeel [Mac OS X, System] 
